feat,fam,dir,n,thr,mfe,mae,mfe_pts,mae_pts,atr_pts,ratio,tf,win,hz,base_mfe,base_mae,base_n
vol.range_exp,vol,low,4767,1.0277792319623582,4.434535699426893,4.527263438231169,44.054594084329764,46.59104258443465,9.44614151251392,0.9795179273153793,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
chp.chop14,chp,high,4768,57.922598578902345,4.064910795190507,3.9656148381805867,50.75949035234899,49.54173657718121,12.104713396071496,1.0250392337788097,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
chp.chop14,chp,low,4767,40.37954098782463,3.543352452961237,3.9874331450917135,55.734161946717016,62.114904552129225,15.509072216926459,0.8886299341025661,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
chp.er20,chp,high,4768,0.38613861386138615,3.39595233544365,3.9140334224277296,52.11204907718121,59.49664429530201,15.18080582880895,0.8676349864527388,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
chp.er20,chp,low,4767,0.07320319792216226,4.02608533496022,3.9200632128184036,52.59114747220474,53.40512901195721,12.87085531228394,1.027046023593479,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
chp.er10,chp,high,4769,0.5450236966824644,3.5228177654494304,3.9785931233421468,52.152128328790106,59.47803522751101,14.652128912298314,0.8854430840844941,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
chp.er10,chp,low,4767,0.11460036810186165,3.9559023865275185,3.847787262703208,53.8826830291588,52.43580868470736,13.273341925341095,1.0280979993026838,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
chp.dir_persist,chp,high,9360,2.0,3.775105681978242,3.8970970379489107,51.522729700854704,54.69543269230769,13.577379809055394,0.9686968646706128,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
chp.dir_persist,chp,low,8080,-2.0,3.7445830071591004,3.955038601797143,53.97496905940594,56.97961014851485,13.522752707922203,0.9467879796312448,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.d_ema20,loc,high,4767,1.3757518059032274,3.6377491418872028,3.9465280719362332,51.74087476400252,58.07452276064611,14.44577494276718,0.9217593478569789,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.d_ema20,loc,low,4767,-1.2015447958924046,3.366740594899194,3.9555159381770166,53.83196979232221,60.74029788126705,14.963074816662798,0.8511508100384062,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.d_ema50,loc,high,4767,2.0710658572668192,3.73612445341793,3.983360959406689,50.863908118313404,56.445615691210406,13.704688691829721,0.937932688373392,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.d_ema50,loc,low,4767,-1.734510611331693,3.3399431932941863,3.9092336718480944,54.05233899727292,59.268932242500526,14.743288586880926,0.854372870403325,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.d_ema200,loc,high,4767,3.9248921006168938,4.4042292997790975,4.100471558600023,51.40591567023285,49.0918292427103,11.172305673783429,1.0740787338329407,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.d_ema200,loc,low,4767,-2.660633187707313,3.4541561389625035,3.842144663811,55.57866582756451,58.39196559681141,14.312672262763153,0.8990177208830932,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.don_pos20,loc,high,4767,0.8506616606142673,3.649869059391749,3.930483990113981,50.684392699811205,55.30506607929515,13.69748979026815,0.9286055021651177,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.don_pos20,loc,low,4768,0.20100502512562815,3.470871938028433,4.03227162388711,51.69242869127517,58.96282508389262,13.981730551272282,0.8607733460878592,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.don_pos50,loc,high,4772,0.8518518518518519,3.7035753647714,3.935871330670535,50.01786462699078,54.938181056160936,13.361297883588023,0.9409797865877999,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.don_pos50,loc,low,4767,0.21136759581881534,3.4030945308986262,3.9612579862051294,52.2747535137403,58.993077407174326,14.39595582932155,0.8590943944448259,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.bb_pos,loc,high,4767,0.873826577507831,3.7013560742959015,3.9808669433621557,51.09471365638767,56.093087895951335,13.684629487100825,0.929786432693431,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.bb_pos,loc,low,4767,0.15849021353217604,3.4817624948032035,4.076631165679472,52.552234109502834,60.16126494650724,14.186452402835966,0.8540783684615926,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
loc.d_hi20,loc,high,4767,3.684795967088186,3.2715546487548113,3.865526058017874,54.59272078875603,61.43523180197189,15.891596811802952,0.846341377512888,5,07:00-11:00,90,3.7759800006601263,3.927875605437742,23835
