tf,design,stop,tgt,be,be_off,arm,tr,n,R,pts,pf,win,sharpe,p_flat
3,S2 level reclaim,1.5,1.5,0.0,0.0,0.0,0.0,540,-0.06001200377082348,-0.9772682745067907,0.899403541916598,0.4388888888888889,-0.5154108117449406,0.11481481481481481
3,S2 level reclaim,1.5,1.5,0.0,0.0,1.0,1.0,551,-0.048742812832407854,-0.4729346010460661,0.9051481329136344,0.47549909255898365,-0.2702731077529277,0.09800362976406533
3,S2 level reclaim,1.5,1.5,1.0,0.25,0.0,0.0,551,-0.04793456078012646,-0.5034851054255617,0.9063434628276636,0.515426497277677,-0.2829963479713999,0.0998185117967332
3,S2 level reclaim,1.5,1.5,1.0,0.25,1.0,1.0,551,-0.048032329811291304,-0.46109841090924386,0.9061297391256287,0.5172413793103449,-0.2630537306083001,0.09800362976406533
3,S2 level reclaim,1.5,2.0,0.0,0.0,0.0,0.0,533,-0.09541531641411219,-1.9442316496520737,0.8572292573121202,0.37523452157598497,-0.884221010681706,0.13696060037523453
3,S2 level reclaim,1.5,2.0,0.0,0.0,1.0,1.0,551,-0.06202676742813094,-0.7460078721934685,0.8792980060441179,0.47549909255898365,-0.40929845103793655,0.10344827586206896
3,S2 level reclaim,1.5,2.0,1.0,0.25,0.0,0.0,551,-0.07268897037505176,-0.9281662294330939,0.8580227457115635,0.5136116152450091,-0.4850827158112997,0.10707803992740472
3,S2 level reclaim,1.5,2.0,1.0,0.25,1.0,1.0,551,-0.05659993153227845,-0.5967053109767674,0.8893859540172137,0.5172413793103449,-0.3272868105024426,0.10344827586206896
3,S2 level reclaim,1.5,3.0,0.0,0.0,0.0,0.0,530,-0.18256075593864715,-4.682838470450813,0.7558773718446463,0.3,-2.0111442037175733,0.1792452830188679
3,S2 level reclaim,1.5,3.0,0.0,0.0,1.0,1.0,551,-0.06519406916765755,-0.9084018711708075,0.8731345438604121,0.47549909255898365,-0.4786256057575818,0.11433756805807622
3,S2 level reclaim,1.5,3.0,1.0,0.25,0.0,0.0,551,-0.08840737930632907,-1.5269395916822723,0.8273212991188965,0.5136116152450091,-0.748216236704527,0.12704174228675136
3,S2 level reclaim,1.5,3.0,1.0,0.25,1.0,1.0,551,-0.058753045145635785,-0.7361457218522395,0.8851780936579082,0.5172413793103449,-0.3874224649780025,0.11433756805807622
3,S2 level reclaim,2.0,0.0,0.0,0.0,0.0,0.0,490,-0.20750086417384556,-7.080134006202921,0.7189086319546534,0.2755102040816326,-2.135671804737583,0.3408163265306122
3,S2 level reclaim,2.0,0.0,0.0,0.0,1.0,1.0,515,-0.0881814844186789,-2.3454136101985315,0.8256386585475833,0.47766990291262135,-0.8749014004393911,0.17475728155339806
3,S2 level reclaim,2.0,0.0,1.0,0.25,0.0,0.0,515,-0.1048828460233994,-3.783656541763939,0.7922180755782393,0.49514563106796117,-1.3682550023710052,0.23300970873786409
3,S2 level reclaim,2.0,0.0,1.0,0.25,1.0,1.0,515,-0.08359417648246685,-2.2761602574412154,0.8343894144868229,0.4970873786407767,-0.8594449582510711,0.17281553398058253
3,S2 level reclaim,2.0,1.0,0.0,0.0,0.0,0.0,515,-0.08686383614616937,-2.041756609409711,0.8279118071447832,0.4970873786407767,-0.9340123533000826,0.12233009708737864
3,S2 level reclaim,2.0,1.0,0.0,0.0,1.0,1.0,515,-0.08686383614616937,-2.041756609409711,0.8279118071447832,0.4970873786407767,-0.9340123533000826,0.12233009708737864
3,S2 level reclaim,2.0,1.0,1.0,0.25,0.0,0.0,515,-0.08686383614616937,-2.041756609409711,0.8279118071447832,0.4970873786407767,-0.9340123533000826,0.12233009708737864
3,S2 level reclaim,2.0,1.0,1.0,0.25,1.0,1.0,515,-0.08686383614616937,-2.041756609409711,0.8279118071447832,0.4970873786407767,-0.9340123533000826,0.12233009708737864
3,S2 level reclaim,2.0,1.5,0.0,0.0,0.0,0.0,503,-0.11085158582244592,-3.0571383228902227,0.8133679328562419,0.415506958250497,-1.1593293883437166,0.16302186878727634
